Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
411,143,86.75,79.92,9.94,25.77,143,24.48,85.31,52.45,11.19,3.5,0,0,2.8,0.7,0,7.69,8.39,16.78,8.39,1.4,8.39,0.7,11.89,6.29,2.1,0.7,0,0.7,0,0,0,0,0,0,6.99,0,0,0,0.7,15.38,4.2,7.69,0,1.4,2.8,0.7,0.7,0.7,0,0,2.1,0,2.1,0,0.7,6.99,0.7,4.9,2.1,0.7,0,0,9.79,2.1,9.09,0.7,5.59,2.8,6.29,1.4,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.7
412,293,79,88.38,7.33,89,26.64,20.82,79.52,50.51,10.24,5.46,0,3.41,0,1.37,0.68,4.78,6.48,15.02,9.56,3.75,6.83,0.34,15.36,3.07,2.05,1.37,1.71,2.05,7.85,5.8,2.05,0.68,0,0.34,10.58,0.34,0.34,0,1.37,8.53,1.71,0.68,3.41,2.05,1.71,1.71,1.71,1.37,0,0.34,4.44,0.34,2.05,0.34,0.68,11.6,6.48,3.07,2.73,0.34,0.34,1.71,11.26,1.02,13.65,1.37,9.22,3.75,2.39,2.05,0.68,0,0,0,0.34,0,0.34,0,0,0,16.38,6.14,5.12,0.34,0,0,0,0.68,0,1.71,0,2.39
413,586,95.14,51.37,1.81,37.86,22.54,21.5,39.76,18.09,2.56,1.88,1.54,0,0.34,0,0,0.68,5.29,5.63,2.05,0.68,2.39,0.51,6.31,1.54,0.51,0.17,2.73,0.85,2.05,1.37,0.68,0,0.68,0,3.41,0.17,0,0.34,1.19,2.9,0.34,0.17,0.68,0.34,0.51,1.19,2.22,0.85,1.19,0.17,1.02,0.51,0.17,0.51,0,3.24,0.68,0.17,2.22,0.17,0,0,5.63,0.51,5.97,0.51,3.58,2.05,0.34,3.07,0.51,0,0.51,3.41,1.37,0.17,1.19,0.17,0,0,35.15,7,1.88,2.39,0,0,0,16.55,0.68,0.51,1.37,4.78
414,246,98.39,65.8,40.2,98.52,22.36,26.42,73.98,45.12,8.94,4.47,3.25,0.41,0.81,0,0,4.47,10.16,17.89,5.69,0.41,3.25,0,8.94,4.88,0.81,0,1.63,0,6.1,5.69,0,0,0,0,6.5,0.41,0,0,0,4.88,2.03,2.03,0,0,0.41,0.41,4.88,4.47,0.41,0,1.22,0.41,0,0.41,0.41,6.91,3.66,1.63,0.41,1.22,0,2.03,5.28,1.22,13.82,2.03,8.94,3.25,1.22,1.63,0.41,0,0.41,0,0.41,0,0,0,0,0,8.54,5.28,2.44,0,0,0,0.41,0,0,0,0,0.41
415,105,97.74,80.42,7.56,25.77,15,20,68.57,44.76,7.62,4.76,0.95,2.86,0.95,0,0,2.86,10.48,16.19,5.71,1.9,3.81,0,8.57,0,0,0,4.76,0,0,0,0,0,0,0,5.71,0,0,0,0,3.81,0,1.9,0.95,0,0.95,0,4.76,4.76,0,0,0,0,0,0,0,5.71,3.81,0.95,1.9,0,0,3.81,6.67,0,12.38,1.9,6.67,4.76,1.9,2.86,0,0.95,0,0,0,0,0,0,0,0,18.1,10.48,4.76,0,0,0,0,2.86,0,0,0,0
416,484,93.79,55.75,1,36.69,34.57,27.07,10.74,2.07,0,0,0,0,0,0,0,0,0.41,1.45,0,0,0.83,0,0,0.21,0.21,0,1.03,0.41,1.03,0.83,0.21,0,0,0,1.86,0.21,0.21,0,0.21,2.07,0.83,0.83,0,0.21,0,0.41,0.21,0.21,0,0,0.21,0.21,0,0,0,2.89,1.03,0.62,0.21,0.83,0.41,0,0,0,2.69,0.41,1.65,0.62,0.21,0.41,0.62,0.41,0.21,0,0.21,0,0.21,0,0,0,25.41,3.93,7.85,0.21,0,0,0,0.41,1.45,1.03,0,10.54
417,673,92.69,87.07,20.46,53.72,24.04,25.56,80.39,47.25,9.66,4.9,0,4.31,0,0,0.59,4.75,10.25,15.3,7.73,3.42,4.75,0.15,14.41,2.97,1.63,1.78,3.86,2.38,2.08,1.78,0.3,0.3,0,0,7.73,0.15,0.45,0.15,0,7.28,1.19,2.67,1.04,1.34,0.59,0.59,1.63,0.74,0.3,0.3,0.45,0.15,0.15,0,0.15,9.36,5.94,2.53,0.45,1.04,0.45,3.27,8.47,1.93,15.3,1.34,9.21,4.75,3.57,2.67,1.34,2.53,0,0,0.3,0,0.3,0,0,0,17.98,5.2,1.93,0.89,0,1.34,0.15,0.3,0,2.08,0.89,5.2
418,379,94.67,50,6.99,45.14,21.06,24.8,38.79,21.37,3.69,1.85,1.58,0.26,0,0,0,1.85,5.01,6.86,3.96,0.53,1.32,0.26,6.86,2.11,1.32,1.32,0.53,0.79,1.58,1.32,0.26,0,0,0,1.85,0,0,0,0,2.9,0.26,1.32,0.26,0,0.79,0.26,1.06,1.06,0,0,0.26,0,0,0,0,1.85,1.32,0.26,0.26,0,0,2.11,4.22,0,10.29,1.58,5.28,3.69,1.32,0,0.79,0,0,0.53,3.43,0,2.37,0,1.06,0,67.02,5.54,2.37,0,0,0,0,1.85,1.06,1.06,0.53,54.62
419,257,92.05,60.75,8.7,93.18,28.56,26.85,75.88,39.3,4.67,3.89,1.17,0,0,2.72,0,0.78,8.56,12.06,5.06,2.72,8.56,0.39,9.34,6.23,2.33,1.17,2.72,1.17,6.61,5.45,1.17,0,0.78,0,4.67,0,0,2.72,0,4.28,1.17,2.33,0.39,0,0.39,0,3.5,0.78,1.56,0,2.33,1.17,1.56,0,0.39,9.34,1.17,3.89,3.89,0.78,0.39,5.06,5.06,1.17,13.62,1.17,5.45,7,8.95,2.72,0,1.95,0,0.39,1.56,0.39,0,0,0.78,0,13.62,4.28,4.67,0,0,0,0,0.78,0,0.39,0,3.5
420,277,88.11,54.32,35.51,78.65,27.7,15.16,91.34,55.96,12.64,8.3,5.05,1.08,1.44,0.36,0.36,4.33,10.47,16.61,7.94,2.89,5.78,1.81,16.25,3.61,2.17,2.53,0.36,2.89,4.33,3.61,0.72,0,0.36,0,9.03,0.72,0.36,0,0.36,12.27,1.81,1.81,2.17,4.33,0.36,3.61,2.53,2.53,0,0,0.72,0.36,0.36,0,0,9.75,3.25,2.89,3.25,1.44,0.72,1.08,15.88,0.36,10.83,1.44,7.58,1.81,5.05,1.08,0.72,1.08,0.36,0,0,0,0,0,0,0,18.41,4.69,8.3,0.36,0,0.72,0,0.72,0,1.08,0.72,1.81
421,920,83.72,38.03,59.16,20.8,21.9,19.35,79.67,50.43,8.48,5.33,3.37,0.22,0.33,0,1.41,3.15,8.48,14.67,9.89,5,5.33,1.2,15.33,5.33,2.61,1.41,1.52,2.5,4.35,1.96,2.28,0.43,0.22,0.98,4.24,0.11,0.11,0,0.33,11.41,1.85,1.41,1.63,4.35,1.09,3.26,2.61,1.3,0.33,0.98,0.54,0.11,0.11,0,0.33,5.43,0.98,0.98,1.85,1.09,0.87,2.5,9.89,2.61,15.54,2.07,10.76,3.04,2.39,0.76,0.22,0.43,0.33,0.22,0.22,0,0,0.11,0,0,14.57,6.2,0.76,0.43,0.11,0.11,0,0,1.09,0.22,0.43,5.22
422,938,97.19,59.69,2.58,43.23,26.8,31.45,38.59,19.08,2.67,1.17,0,0.11,0,0,1.07,1.49,4.69,8.64,1.17,0.75,2.45,0,2.99,2.13,1.49,0.21,1.07,1.81,1.39,1.17,0.21,0,0,0,3.2,0.11,0,0,0.11,3.09,0.64,0.96,0,0.21,0.64,0.85,2.13,1.39,0.75,0,0.96,0.64,0.21,0,0.11,2.67,1.49,0.32,0.43,0.32,0.21,0.21,1.6,0.85,7.78,0.96,5.12,1.6,1.17,2.67,0,0.32,0.11,0,0.43,0,0.11,0,0.32,0,16.52,3.94,4.16,0.43,0,0,0,1.07,0,1.81,0.43,4.69
423,53,38.66,57.49,9.72,61.55,26.5,15.09,73.58,45.28,13.21,5.66,0,1.89,3.77,0,0,7.55,3.77,9.43,5.66,3.77,7.55,7.55,16.98,1.89,0,0,3.77,0,1.89,1.89,0,0,0,0,13.21,0,0,0,0,16.98,0,3.77,3.77,3.77,0,9.43,1.89,1.89,0,0,0,0,0,0,0,3.77,3.77,0,0,0,0,0,22.64,0,7.55,1.89,5.66,0,0,1.89,0,1.89,0,0,1.89,0,1.89,0,0,0,101.89,71.7,7.55,0,0,1.89,0,0,0,3.77,3.77,13.21
424,251,95.17,48.41,1,25.77,50.2,33.86,9.16,4.38,0.8,0.4,0.4,0,0,0,0,0.4,0.8,2.79,0,0,0,0,0.4,0.4,0,0,0,0,1.59,0.8,0.8,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0.8,0,0,0.8,0,0,0,0.4,0.4,4.38,0.4,3.19,0.8,0.8,0,0,0.4,0.4,0,0.4,0,0.4,0,0,0,17.13,2.79,8.37,0.4,0,0,0,0,0,3.19,0,2.39
425,354,97.51,76.01,5.31,90.77,39.33,28.25,75.99,40.11,5.37,2.82,0,1.69,0,0,1.13,2.54,8.76,15.25,4.52,0.85,6.21,0,7.91,3.95,0.56,0.28,1.98,1.98,4.52,4.24,0.28,0,0,0.28,5.65,0,0,0.28,0,4.52,0.56,2.26,0.28,0,1.13,0.28,1.41,1.13,0,0,0.28,0,0.28,0,0,10.73,3.67,4.8,1.41,2.54,0,1.13,6.5,2.26,10.73,1.41,5.93,3.39,5.65,6.21,0,2.26,0,0,0.28,0,0,0,0.28,0,13.56,3.11,4.52,0.56,1.41,0,0,2.26,0.56,0.28,0,0.85
426,349,94.13,52.29,1,21.37,24.93,30.09,7.74,2.01,0.29,0.29,0.29,0,0,0,0,0,0.57,1.15,0,0,0,0,0.29,0,0,0,0,0.57,0.86,0.29,0.57,0,0.29,0.29,0.86,0.86,0,0.86,0,1.43,0.29,0,0,0.29,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.57,2.01,0.29,1.15,0.57,0.29,0,0.29,0,0.57,0.29,0.57,0,0.57,0,0,0,19.2,4.3,5.44,0.29,0,0,0,0,0,0,0.57,8.6
427,1062,91.67,70.76,31.33,90.77,23.09,18.83,75.61,44.07,9.98,6.4,2.92,2.17,1.13,0,0.19,3.58,7.82,14.41,4.52,1.41,7.16,0.28,9.89,5.37,1.41,0.38,3.39,2.45,5.46,4.71,0.75,0.19,0.09,0,8.19,0.28,0.28,0.19,0.09,10.26,2.26,1.41,1.22,3.39,1.32,2.82,2.35,1.13,0.47,0.38,2.07,0.94,0.75,0,0.19,7.72,4.24,0.85,2.35,0.66,0.38,0.85,7.25,1.13,11.3,1.6,8.1,1.51,1.88,1.6,0.09,0.66,0.75,0.09,0.19,0,0.09,0.09,0,0,39.45,5.65,7.72,2.17,1.13,0.28,2.45,1.13,0.28,0.09,1.04,17.51
428,758,89.72,75.38,5.89,65.76,30.32,29.16,56.33,31.93,6.46,4.35,0.4,3.03,0.53,0,0.4,2.11,6.33,9.1,5.67,2.24,2.77,1.06,10.42,3.3,2.24,0.53,1.32,1.98,2.64,2.37,0.26,0,0.13,0,6.73,0,0.26,0,0.13,8.18,1.58,1.58,1.58,1.98,0.79,1.98,2.24,1.85,0.13,0.26,0.13,0,0.13,0,0,7.39,4.22,1.32,1.58,0.4,0.26,1.06,7.65,1.32,9.23,1.06,5.28,2.77,1.98,0.53,0.26,1.32,0.26,1.19,1.58,0,1.45,0.26,0.13,0,18.6,5.54,2.77,0.13,0,0.4,0.4,1.19,0,0.4,0,7.78
429,544,97.4,55.84,42.42,84.25,49.45,25.37,74.26,43.01,7.35,5.33,3.68,0.55,0.55,0,0.55,2.02,8.09,17.83,5.51,1.29,4.6,0.37,8.27,3.68,1.47,0.74,3.68,1.1,4.78,4.04,0.74,0,0.18,0.55,4.96,0,0,0,0,4.41,1.65,1.29,0.55,0.92,0.37,0.55,2.39,0.55,1.29,0.18,1.47,1.1,0.18,0,0.18,5.15,2.21,1.47,1.1,0.18,0.37,1.84,6.8,0.55,14.52,0.55,9.01,4.96,3.68,5.51,0.18,1.47,0,0,0.18,0,0.18,0,0,0,18.57,4.96,2.21,0.18,0,0,0.37,1.29,0,0.55,0.74,8.27
430,280,80.28,82.35,45.73,83.08,28,16.79,86.43,52.5,13.57,4.64,0,1.79,2.14,0,0.71,8.93,8.21,14.64,7.5,3.21,7.14,0,17.14,3.21,1.79,0.71,1.43,2.86,3.21,3.21,0,0,0,0,8.21,0,0,0,0.71,10.71,1.79,2.86,2.14,1.43,1.43,2.86,4.64,1.79,0,1.43,1.07,0,0.36,0,0.36,5.36,3.21,1.43,1.07,0,0,2.5,12.5,1.79,17.86,2.14,8.93,6.79,1.07,0.71,0.36,1.79,0,0,0,0,0,0,0,0,10.71,5,3.57,0.36,0,0,0.36,0,0,1.07,0,0.36
431,751,84.1,69.36,25.47,58.52,16.33,20.51,84.82,51.26,11.19,5.59,1.2,3.2,0,0,1.2,5.59,8.79,15.05,9.05,2.93,6.13,1.07,13.85,2.13,1.46,1.07,4.26,1.46,4.13,2.93,1.2,0.4,0,0.67,7.06,0,0,0,0,11.72,2.66,2.93,1.86,1.6,0.8,2.93,7.19,1.73,2.26,1.6,1.07,0.4,0.27,0,0.4,9.05,3.46,2.93,2.26,0.4,0.67,1.46,9.32,2.93,12.12,1.07,8.12,3.06,1.46,0.93,2.8,1.07,0,0.13,0,0,0,0,0,0,13.98,6.26,3.2,0.8,0,0,0,0.53,0,0,0,3.2
432,162,96.85,52.47,30.27,88.52,18,19.75,79.63,50,6.17,3.09,1.85,0,0.62,0,0.62,3.09,13.58,15.43,6.79,4.32,6.17,0,9.88,9.26,4.32,0,0,2.47,3.7,3.7,0,0,0,0,2.47,0.62,0,0.62,0,6.17,0,2.47,0,1.85,1.85,0.62,4.32,3.09,0,1.23,1.23,0,0,0,1.23,3.7,0.62,2.47,1.23,0,0,0.62,5.56,5.56,15.43,1.23,11.11,3.09,0.62,3.09,1.23,0.62,0,0,1.23,0,0,0,1.23,0,10.49,5.56,2.47,0,0,0,0.62,0,0,0,0,1.85
433,163,93.41,23.08,81.51,93.27,23.29,23.31,85.28,47.85,9.2,6.75,6.75,0,0,0,0,2.45,9.82,15.34,6.13,0.61,7.36,1.23,14.72,4.29,2.45,0,4.29,2.45,4.29,4.29,0,0,0,0,1.84,0,0,0,0,6.75,1.23,2.45,1.23,0,0.61,1.23,0.61,0.61,0,0,0.61,0,0.61,0,0,9.82,1.23,5.52,2.45,0.61,0.61,3.68,9.2,3.07,18.4,3.68,6.75,8.59,7.98,5.52,0,1.23,0,0.61,0,0,0,0,0,0,21.47,4.91,6.75,0.61,0,0,1.23,3.07,0,0.61,0,4.29
434,143,67.9,66.27,85.21,77.29,23.83,12.59,90.91,51.75,15.38,6.99,3.5,2.1,1.4,0,0,8.39,7.69,12.59,9.09,3.5,6.29,0,17.48,5.59,2.8,1.4,1.4,3.5,2.8,2.8,0,0,0,0,7.69,0,0,0,0.7,12.59,3.5,0.7,2.1,1.4,2.1,3.5,2.1,1.4,0,1.4,0.7,0,0,0,0,7.69,3.5,3.5,1.4,0,0,8.39,4.9,2.8,18.88,4.2,7.69,6.99,0.7,4.2,2.8,0.7,2.1,0,0.7,0,0,0,0,0,27.97,9.79,6.99,0,0.7,0.7,0.7,0.7,4.2,2.1,0.7,1.4
435,88,91.66,98.8,7.84,68.66,29.33,11.36,85.23,53.41,12.5,10.23,0,6.82,1.14,0,2.27,2.27,6.82,20.45,6.82,2.27,6.82,0,13.64,3.41,2.27,2.27,1.14,0,2.27,2.27,0,0,0,0,14.77,0,0,0,0,5.68,1.14,0,3.41,1.14,0,0,1.14,0,0,1.14,2.27,1.14,1.14,0,0,17.05,9.09,2.27,3.41,3.41,0,0,13.64,0,14.77,1.14,12.5,1.14,3.41,1.14,1.14,4.55,0,0,0,0,0,0,0,0,10.23,4.55,2.27,0,0,1.14,0,2.27,0,0,0,0
436,1113,81.76,78.81,35.54,91.48,24.73,20.22,80.68,48.52,12.31,7.19,1.98,2.96,0.63,0.18,1.44,5.12,7.37,14.2,7.91,2.34,5.75,1.08,14.73,4.22,2.16,1.17,4.76,1.98,5.12,4.58,0.54,0,0,0.18,9.25,0,0.27,0.09,0.36,9.07,2.52,1.53,0.72,1.26,1.44,1.8,4.04,1.17,0.72,1.35,1.98,0.36,0.99,0.18,0.18,8.98,5.03,1.35,1.62,1.62,0,2.25,8.72,2.34,13.39,2.25,9.34,2.07,1.26,1.26,1.08,0.36,1.17,0.18,0.45,0,0.18,0,0.27,0,18.96,5.21,7.37,0.81,0.09,0.18,0.09,0.54,1.08,0.99,0.9,1.71
437,488,90.61,76.34,15.69,71.88,28.71,28.28,79.71,46.72,8.81,3.07,0,0.82,0.2,0,2.05,5.74,8.4,14.75,6.97,2.46,6.97,0,10.45,4.3,1.84,1.64,0.2,2.46,2.87,2.66,0.2,0,0,0.2,7.38,0,0,0,0,6.76,1.02,2.66,0.41,0.61,0.82,1.23,2.05,1.43,0.2,0.41,1.43,0.2,1.02,0,0.2,5.12,2.05,1.64,1.64,0.61,0,1.84,6.76,2.66,13.11,1.02,6.97,5.12,3.48,3.28,0.61,0.61,0,0.2,0.2,0,0,0,0.2,0,13.52,3.48,5.53,0,0.41,0,0.2,1.43,0,0.2,0,2.25
438,307,93.44,56.47,40.41,74.32,34.11,19.87,84.69,51.14,10.75,6.51,3.91,1.63,0.33,0,0.65,4.23,8.79,17.92,5.21,2.28,7.17,0.65,12.05,3.91,3.58,0.33,1.3,6.84,3.26,2.93,0.33,0.33,0,0,5.54,0.33,0,0,0,8.79,2.28,2.28,1.3,1.3,0.98,1.3,6.51,2.93,1.3,1.63,0,0,0,0,0,4.89,2.61,0.65,0.65,1.3,0,1.63,9.12,2.93,13.36,2.61,6.19,5.21,0.33,0.98,0,0.65,0,0,0,0,0,0,0,0,10.1,5.54,2.93,0,0,0,0,0,0,0,0,1.63
439,210,94.5,96.45,28.65,95.81,21,19.52,88.1,42.38,9.52,6.67,0,6.67,0,0,0,2.86,7.14,15.71,4.29,1.43,5.71,0,10.95,6.19,2.38,0.95,1.43,2.38,4.76,4.76,0,0,0,0,13.33,0,0,0,0,7.14,0.95,0.95,1.9,0,1.43,1.9,3.81,2.86,0.48,0.48,0.95,0.48,0.48,0,0,18.1,10.95,4.29,1.9,2.38,0.95,1.43,10.48,0,16.67,2.38,11.43,2.86,8.57,5.24,0.95,0.48,0.48,0,0,0,0,0,0,0,12.38,4.76,4.76,0,0,0,0,0.95,0,0.48,0,1.43
440,813,95.12,62.09,20.76,60.75,26.23,21.89,69.86,40.47,6.64,1.48,0.12,0.74,0,0.12,0.49,5.17,10.95,11.93,4.06,2.58,6.89,0,7.87,6.4,3.57,0.74,2.46,2.58,3.81,2.83,0.98,0.12,0.49,0,3.69,0.12,0,0,0.37,5.66,0.98,1.6,0.37,1.35,0.49,1.11,2.83,1.85,0.37,0.37,0.98,0.62,0.12,0.25,0,5.9,1.35,2.58,1.48,0.62,0,4.06,2.71,0.98,14.39,1.35,7.01,6.03,1.85,4.8,0.12,1.11,0,0.25,0.98,0.12,0,0.12,0.74,0,23.62,3.81,6.77,0.49,0.12,0.25,0.49,1.85,0.49,0.12,1.72,7.5
441,198,95.68,59.98,28.97,94.75,22,29.8,74.24,38.38,8.59,6.57,3.03,0,0,3.54,0,2.02,7.58,14.65,1.52,1.01,7.07,0.51,5.56,4.55,2.02,1.01,1.01,0.51,5.05,4.55,0,0,0,0,8.08,0,0,4.55,0,8.08,3.54,2.02,0,0,0.51,2.02,3.54,2.02,0,1.01,1.52,1.01,0.51,0,0,7.58,1.01,4.04,1.52,1.01,0,1.01,6.57,0,12.63,1.01,8.59,3.03,5.05,3.54,0,1.01,0,0,0,0,0,0,0,0,14.65,5.05,4.04,0,0.51,0,0,0,1.01,0,0,4.04
442,267,91.67,79.5,11.7,25.77,19.07,23.97,69.66,41.95,9.36,3.75,0,1.5,1.12,1.12,0,5.62,10.49,11.99,5.99,3,5.24,0,9.74,5.24,1.87,1.12,1.5,0,3.75,1.87,1.87,0,1.5,0,7.49,0,0,0,1.12,4.49,0.75,1.12,0.37,1.12,0,1.87,0.75,0.37,0,0,1.12,0,0.37,0.37,0,7.49,3.37,0.37,4.49,0.37,0,1.12,6.74,1.5,12.73,4.49,6.37,2.62,2.62,1.87,0,2.62,0.37,0,0,0,0,0,0,0,25.84,8.24,6.74,0,0.37,0,0,0.37,0,3.37,0,6.74
443,164,66.25,59.64,36.32,93.1,23.43,20.12,87.2,53.66,10.37,4.88,2.44,0.61,0.61,0,1.22,5.49,8.54,12.2,14.63,3.66,4.88,1.83,15.24,4.88,3.05,1.83,0.61,3.66,5.49,4.88,0.61,0,0,0.61,7.32,0,1.22,0,0,10.37,1.83,0,1.83,1.22,4.27,1.83,1.22,0.61,0,0.61,1.22,0.61,0,0,0,4.88,2.44,1.22,0.61,1.22,0,0.61,13.41,1.22,14.63,1.83,7.93,4.88,3.05,0,3.05,1.22,0.61,0,0,0,0,0,0,0,9.76,6.71,0.61,0,0,0,0,0,0,1.22,0,1.22
444,861,90.7,95.15,20.91,98.52,25.32,25.44,81.53,44.72,9.06,6.04,0.23,3.72,1.86,0,0.23,3.02,6.62,15.8,6.04,2.21,7.08,0,9.52,5.23,1.39,0.7,1.28,1.97,5.69,5.69,0,0,0,0,13.24,0,0.7,0,0,9.41,0.81,3.37,0.23,2.32,1.16,1.97,1.74,0.35,0.23,1.16,0.7,0.12,0.23,0,0.35,17.19,8.59,3.95,2.67,3.02,0.12,1.39,7.2,1.97,13.36,1.05,9.76,2.32,1.39,5.69,0,0.23,0,0.12,0.7,0,0,0.7,0,0,15.1,7.43,2.79,0,0,0,0,0.93,0,0.23,0,3.72
445,143,91.37,28.79,54.5,38.18,71.5,23.78,76.22,48.95,4.9,2.1,2.1,0,0,0,0,2.8,5.59,18.18,9.79,2.1,6.29,2.1,13.29,4.2,0,0,0,1.4,0.7,0.7,0,0,0,0,0.7,0,0,0,0,7.69,0.7,1.4,0.7,2.8,0.7,2.1,0.7,0.7,0,0,0,0,0,0,0,2.8,0,1.4,0.7,0.7,0,0.7,8.39,4.9,17.48,4.2,7.69,5.59,2.1,4.2,0.7,1.4,0,0,0,0,0,0,0,0,11.89,4.2,4.9,0.7,1.4,0,0,0,0,0.7,0,0
446,432,95.48,89.84,47.35,83.41,43.2,27.55,75.23,41.44,7.18,3.7,0.23,2.55,0.93,0,0,3.47,7.18,15.74,4.63,2.31,5.32,0.23,8.56,3.47,0.93,1.85,2.08,1.16,3.24,3.24,0,0,0,0,10.88,0.23,0.46,0,0.93,6.02,2.31,0.93,0.23,0.93,1.39,1.16,1.85,1.16,0.46,0.23,0.69,0,0.23,0,0.46,5.79,3.47,0.23,2.55,0,0,0.69,6.71,2.08,17.13,1.85,10.42,5.09,4.4,3.01,0.23,0.69,0.23,0,0,0,0,0,0,0,21.99,4.63,8.33,1.16,0,0.23,0.46,0.46,0.93,1.16,0.46,4.17
447,291,69.39,98.79,28.13,81.5,22.38,17.87,85.57,51.89,16.15,11.68,1.03,10.31,0,0,0.34,4.47,6.53,14.09,7.56,3.09,6.87,0.34,15.81,4.47,3.09,1.03,0.34,2.06,5.15,4.12,1.03,0.34,0,0.34,14.43,1.03,0.34,0.69,0.69,10.65,3.44,4.47,0.69,0.69,0.69,0.69,2.06,2.06,0,0,0.69,0,0.34,0,0,19.59,12.37,2.75,2.75,1.37,1.03,5.5,9.28,1.72,13.06,2.41,6.53,3.78,4.12,1.03,0.69,3.44,0,0,0.69,0,0,0,0.69,0,7.9,5.5,0.69,0,0,0,0,0,0,0,0.69,1.03
448,412,85.28,92.38,13.28,92.11,31.69,21.12,82.04,46.6,10.19,8.01,0,5.58,1.21,0.24,0.97,2.18,8.25,12.86,8.25,3.16,4.61,0.73,12.62,5.83,2.67,0.73,3.4,2.91,6.07,5.1,0.97,0,0,0.97,10.44,0,0,0,0.24,8.01,0.97,0.97,1.7,2.67,0.97,2.18,2.91,1.7,0.49,0.24,0.97,0.73,0,0,0.24,11.17,6.31,1.46,2.91,1.46,0,1.7,9.95,2.18,13.11,0.97,9.71,2.43,3.16,2.67,0.97,3.64,0,0,0.49,0,0,0,0.49,0,22.57,3.4,4.13,0,0.24,1.21,0.73,2.67,0.49,0.24,1.46,8.01
449,166,84.95,89.69,3.68,92.75,15.09,24.1,77.71,49.4,5.42,3.61,0,3.61,0,0,0,1.81,9.64,13.25,13.86,1.81,7.23,0.6,18.67,2.41,0.6,1.81,4.22,2.41,4.22,4.22,0,0,0,0,10.84,0,0,0,0,7.83,0.6,1.2,1.2,2.41,1.81,1.2,1.81,0.6,0.6,0.6,1.2,0.6,0,0,0,14.46,9.64,1.81,3.01,1.2,0,0.6,11.45,4.82,9.64,2.41,4.22,2.41,4.82,4.82,0,1.81,0,0,0.6,0,0.6,0,0,0,10.84,5.42,0.6,0,0,0,1.2,0.6,0,1.81,0,1.2
450,434,88.18,41.79,17.69,76.8,33.38,17.74,79.72,50.23,9.22,3.46,1.61,0,0.69,0,1.15,5.76,11.29,12.44,8.76,3,6.45,0.23,13.13,5.3,2.53,0.23,1.84,3.92,2.76,2.76,0,0,0,0,2.53,0,0,0,0,11.29,0.69,3,0.69,3.46,1.38,3.46,3.46,2.76,0.23,0.23,1.38,0.92,0.23,0,0.23,5.07,0,3.23,0.92,2.3,0,2.53,9.91,0.69,10.37,0.69,5.53,3.92,3.46,2.07,0.69,0.92,0.23,0,0.23,0,0.23,0,0,0,15.21,4.84,6.68,0.69,0,0,0,1.15,0,0,0,1.84
451,415,99,57.65,24.54,52.92,207.5,25.3,85.54,47.23,3.86,0.72,0,0.24,0,0.48,0,3.13,15.9,19.28,5.06,1.69,1.93,0.48,8.19,3.86,2.41,0.48,3.37,2.89,2.41,1.93,0.48,0,0,0,2.65,0,0,0,0.48,8.43,3.37,1.93,0.24,1.45,1.45,0.48,5.54,4.58,0,0.96,0.96,0.96,0,0,0,6.27,0.48,3.37,2.65,0.48,0.48,1.45,6.51,0.48,13.73,1.69,9.64,2.41,2.41,3.13,1.45,3.37,0,0,0,0,0,0,0,0,10.36,3.61,3.86,0.48,0,0,0,0,0,0.48,0,1.93
452,349,78.5,54.56,27.87,94.97,26.85,18.34,87.68,55.87,13.47,5.44,3.44,1.43,0.29,0,0.29,8.02,8.31,16.05,9.74,2.58,6.88,1.15,16.62,2.87,2.01,1.43,1.15,3.15,6.88,5.73,1.15,0.57,0.29,0.29,6.59,0,0,0,0,13.47,3.72,3.44,2.29,0.86,2.01,2.58,1.15,0.29,0.86,0,0.86,0,0.57,0,0,9.17,2.87,3.44,2.29,2.01,0,0,10.89,2.87,10.03,1.43,5.73,2.87,3.72,2.29,0,0,2.58,0,0,0,0,0,0,0,10.32,3.72,4.01,0.29,0,0,0,0.29,0.57,1.43,0,0
